Order_ID,Order_Date,Customer_ID,Product,Category,Quantity,Unit_Price,Region
1001,2025-01-05,C001,Laptop,Electronics,2,55000,North
1002,2025-01-12,C002,Mouse,Accessories,5,800,South
1003,2025-01-20,C003,Keyboard,Accessories,3,1500,East
1004,2025-02-03,C004,Laptop,Electronics,1,60000,West
1005,2025-02-15,C005,Monitor,Electronics,2,12000,North
1006,2025-02-20,C001,Mouse,Accessories,4,750,South
1007,2025-03-02,C006,Laptop,Electronics,2,58000,East
1008,2025-03-10,C007,Keyboard,Accessories,6,1400,West
1009,2025-03-18,C008,Monitor,Electronics,3,11500,North
1010,2025-04-05,C002,Laptop,Electronics,1,62000,South
1011,2025-04-15,C009,Mouse,Accessories,8,700,East
1012,2025-04-25,C010,Monitor,Electronics,2,12500,West
1013,2025-05-04,C003,Laptop,Electronics,3,59000,North
1014,2025-05-14,C004,Keyboard,Accessories,5,1600,South
1015,2025-05-22,C005,Mouse,Accessories,10,750,East
1016,2025-06-03,C006,Monitor,Electronics,4,11800,West
1017,2025-06-12,C007,Laptop,Electronics,2,61000,North
1018,2025-06-25,C008,Keyboard,Accessories,7,1550,South
1019,2025-07-05,C009,Mouse,Accessories,12,720,East
1020,2025-07-19,C010,Monitor,Electronics,3,12000,West
